Batch,Leg,Segment,Time Start,Time End,Max Deviation
0,Right,1,15.705760618932,15.9656422936893,3.40910176057347
0,Right,2,16.9651871966019,17.125114381068,2.17724146053432
0,Right,3,18.1746365291262,18.394536407767,3.38045384661907
0,Left,1,16.3554648058252,16.7852691140777,3.23721427684707
0,Left,2,17.2550552184466,17.8247958131068,3.73855277104906
1,Right,1,23.2223382888349,23.3522791262136,2.01967793378512
1,Right,2,24.4317876213592,24.6316966019417,3.50936945941386
1,Right,3,25.6212460558252,25.841145934466,3.96773608268425
1,Left,1,22.6126158980582,22.9724520631068,3.65260902918586
1,Left,2,23.5521881067961,24.1519150485437,3.88179234082105
1,Left,3,25.0814918082524,25.5312870145631,5.1279765978374
2,Right,1,29.1296486650485,29.3895303398058,4.76987767340742
2,Right,2,30.2391435072815,30.4390524878641,3.29451010475587
2,Right,3,31.3986155946602,31.6485018203883,4.23989126525103
2,Left,1,29.6793983616505,29.9392800364078,3.72422881407186
2,Left,2,30.8088841019417,31.0787612257282,4.05367982454744
2,Left,3,32.0583152305825,32.7080194174757,3.70990485709466
3,Right,1,35.6666723300971,35.8465904126214,3.15127053498388
3,Right,2,36.7761671723301,36.9460898058252,3.02235492218908
3,Right,3,37.9356392597087,38.195520934466,3.36612988964187
3,Left,1,35.1269180825243,35.4167861043689,3.33748197568747
3,Left,2,36.216422026699,36.6562217839806,3.35180593266467
3,Left,3,37.3658986650485,37.7857075242718,3.76720068500345
